id,city,location,price,area_sqft,bedrooms,bathrooms,parking,furnishing,property_type,listing_type,image_url
72ce4ce5-6a3c-42d6-b568-1507ab5ce766,Bangalore,JP Nagar Phase 1,30000000,3340,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
6c36531f-cf1c-4831-a6e7-eb6239f6f497,Bangalore,Dasarahalli on Tumkur Road,7888000,1045,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
860bd602-63e5-454c-86fe-19c1cd9bce0e,Bangalore,Kannur on Thanisandra Main Road,4866000,1179,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
cb4a1070-b8c3-4b5f-b195-56b36d6aceee,Bangalore,Doddanekundi,8358000,1675,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
b12bc250-4d42-4cf4-8dd4-d2ef26a34b50,Bangalore,Kengeri,6845000,1670,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
215b3eb3-cabf-4bb7-800f-78b96ba3eb06,Bangalore,Horamavu,6797000,1220,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
688d5973-ea5d-4634-a966-eb56c092ef8c,Bangalore,Thanisandra,20000000,2502,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
63cf2685-e4fe-4a6c-b232-8253bbe7b233,Bangalore,Ramamurthy Nagar,7105000,1438,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
80bcd503-9a6e-4c6b-9646-a3cc482af439,Bangalore,Whitefield Hope Farm Junction,8405000,1405,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f3765fc2-e67f-4736-bac3-638a6644cce2,Bangalore,Electronic City Phase 1,3506000,660,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
5a294d14-0191-4971-9fa7-74a2a512d86a,Bangalore,Yelahanka,7700000,1362,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
c5ba0bf6-c231-4313-baf9-b703651c4dc7,Bangalore,Anjanapura,9369000,1735,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
bedac111-e3e1-4300-8588-01d85b564297,Bangalore,Jalahalli,8716000,1575,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
2df6410c-eaa5-4015-b01a-94df767ef44c,Bangalore,Kasavanahalli,5394000,1120,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
d2e484ff-ca56-44d3-8e8e-701365b9f662,Bangalore,Whitefield Hope Farm Junction,6367000,1415,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f4a5e7a5-3d2b-4805-b607-c33b700ab158,Bangalore,Bommasandra,5080000,1270,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
86880a5f-4680-4130-9f03-eb4c5bfaffff,Bangalore,Bellandur,7209999,1311,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
d0a9ea2d-7660-4c85-9df2-228be7cd58e9,Bangalore,RR Nagar,5700000,1210,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
2b513fdd-25fe-469b-a304-ab1bc38de898,Bangalore,JP Nagar Phase 1,30000000,3340,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
ac083c90-4174-493a-abcf-2ac9daab6ef8,Bangalore,Dasarahalli on Tumkur Road,7888000,1045,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
83a3b9dc-344f-4de2-8112-46302d5507ac,Bangalore,Kannur on Thanisandra Main Road,4866000,1179,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
2d855f3c-b8ad-49ab-9ef6-071d6875c796,Bangalore,Doddanekundi,8358000,1675,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
03f69168-4fa2-42d2-af0b-d82fc0a57c17,Bangalore,Kengeri,6845000,1670,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
16d2a3a5-ca5c-4ba3-9198-6466ff2f0179,Bangalore,Horamavu,6797000,1220,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f03ace8d-6ee2-4a1c-a406-6e6e1c57a92b,Bangalore,Thanisandra,20000000,2502,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
75766205-6e84-418e-9a50-9975d7afc281,Bangalore,Ramamurthy Nagar,7105000,1438,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f8b9ef74-5961-450d-892e-98cbc52ab40d,Bangalore,Whitefield Hope Farm Junction,8405000,1405,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f45d41dc-0757-4b6c-997d-cedd8eb9eabd,Bangalore,Electronic City Phase 1,3506000,660,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
eaab1715-d4fa-4aa9-a456-4bc1cd75ca1c,Bangalore,Yelahanka,7700000,1362,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
0ce606a6-efe6-42b9-93ac-e31b6b18f672,Bangalore,Anjanapura,9369000,1735,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
a052d05c-beae-49ed-9584-e3a5e5e9141d,Bangalore,Jalahalli,8716000,1575,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
1074dfc4-6ebb-4389-b7c5-309fb704d2fc,Bangalore,Kasavanahalli,5394000,1120,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
246741dd-277c-4594-9da2-12135212f6bd,Bangalore,Whitefield Hope Farm Junction,6367000,1415,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
269ff9ff-546e-44f1-9a96-0d125a002d1b,Bangalore,Bommasandra,5080000,1270,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
5b26c727-fd88-4da4-bf94-ececea874374,Bangalore,Bellandur,7209999,1311,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
51c1759f-c694-45d8-bad7-27b0b4f33a82,Bangalore,RR Nagar,5700000,1210,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f57498c3-857f-4127-9b6e-f7de85783f19,Bangalore,Whitefield Hope Farm Junction,12400000,1705,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
2898e698-89b1-4c27-96c7-470817566691,Bangalore,Begur,4900000,1187,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f8afea93-c14b-4c6f-b2f4-0d816372f632,Bangalore,JP Nagar Phase 1,30000000,3340,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f681a028-a8ff-4c6b-bb85-5d48bd9a9c9b,Bangalore,Dasarahalli on Tumkur Road,7888000,1045,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
9348eae6-eaad-4a4e-acdb-adf874f12b26,Bangalore,Kannur on Thanisandra Main Road,4866000,1179,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
1ebb5972-eb96-4c76-ad30-faa5751a696b,Bangalore,Doddanekundi,8358000,1675,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
b9f64442-11a7-4f06-abef-5939674a5dda,Bangalore,Kengeri,6845000,1670,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
699edd64-fc81-4deb-8f8e-484146ac6f46,Bangalore,Horamavu,6797000,1220,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
dd854d21-ccb5-42a6-a23d-035008b35688,Bangalore,Thanisandra,20000000,2502,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
013dfc45-8b00-45d4-bb80-495dd1701ed8,Bangalore,Ramamurthy Nagar,7105000,1438,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
6d402598-0726-4f3e-a4fd-71ac254a32b1,Bangalore,Whitefield Hope Farm Junction,8405000,1405,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
631e6566-932e-42cb-9a26-bfcf2de9fd6f,Bangalore,Electronic City Phase 1,3506000,660,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
c67ee3f3-017c-4355-8c0b-729a7ccf4b1b,Bangalore,Yelahanka,7700000,1362,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
d2632636-a690-49fa-8169-02c8f7e2b3d2,Bangalore,Anjanapura,9369000,1735,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
65c16d32-27c2-4d0e-895d-7c390d0e00a0,Bangalore,Jalahalli,8716000,1575,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
ea8fbe09-d4bb-4a17-bebe-f85d869361b4,Bangalore,Kasavanahalli,5394000,1120,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
a4a7140c-2082-4e4c-9625-c815cdd931e2,Bangalore,Whitefield Hope Farm Junction,6367000,1415,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
84854b6b-ce7c-48eb-b1cc-85685dbb70d6,Bangalore,Bommasandra,5080000,1270,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
c6bc2761-88f7-4178-8457-491b51252911,Bangalore,Bellandur,7209999,1311,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
23c0364b-7e1a-4ec7-97a2-e0f5eacece45,Bangalore,RR Nagar,5700000,1210,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
f3926ffe-a75d-469d-bc84-0e55292cfdc6,Bangalore,Whitefield Hope Farm Junction,12400000,1705,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
2a406596-3f4d-461f-951f-5aa48f1505f0,Bangalore,Begur,4900000,1187,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
3bc2bc1e-7a2a-43aa-91dd-b8319cf2b1e6,Bangalore,Bommasandra,5080000,1270,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
4751da5d-07f9-4a7a-b73e-c42cd2277130,Bangalore,Kannur on Thanisandra Main Road,9630000,2293,,,,,Apartment,sale,https://placehold.co/600x400?text=Property
